,H,B,tw,tf,A,Z
2255,450,250,19,25,20100,2961944.444
2256,450,250,19,28,21486,3204666.924
2257,450,250,19,32,23334,3516989.876
2258,450,250,19,36,25182,3816631.44
2259,450,250,19,40,27030,4103854.444
2261,450,250,22,12,15372,1909203.36
2262,450,250,22,16,17196,2270131.076
2263,450,250,22,19,18564,2531917.636
2264,450,250,22,22,19932,2786189.316
2265,450,250,22,25,21300,3033055.556
2266,450,250,22,28,22668,3272625.796
2267,450,250,22,32,24492,3580892.604
2268,450,250,22,36,26316,3876642.72
2269,450,250,22,40,28140,4160135.556
2311,450,300,9,12,11034,1792831.92
2312,450,300,9,16,13362,2253489.662
2313,450,300,9,19,15108,2587611.982
2314,450,300,9,22,16854,2912142.942
2315,450,300,9,25,18600,3227222.222
2316,450,300,9,28,20346,3532989.502
2317,450,300,9,32,22674,3926435.298
2318,450,300,9,36,25002,4303905.84
2319,450,300,9,40,27330,4665732.222
2321,450,300,12,12,12312,1878730.56
2322,450,300,12,16,14616,2334639.253
2323,450,300,12,19,16344,2665317.013
2324,450,300,12,22,18072,2986502.293
2325,450,300,12,25,19800,3298333.333
2326,450,300,12,28,21528,3600948.373
2327,450,300,12,32,23832,3990338.027
2328,450,300,12,36,26136,4363917.12
2329,450,300,12,40,28440,4722013.333
2331,450,300,14,12,13164,1935996.32
2332,450,300,14,16,15452,2388738.981
2333,450,300,14,19,17168,2717120.367
2334,450,300,14,22,18884,3036075.194
2335,450,300,14,25,20600,3345740.741
2336,450,300,14,28,22316,3646254.287
2337,450,300,14,32,24604,4032939.846
2338,450,300,14,36,26892,4403924.64
2339,450,300,14,40,29180,4759534.074
2341,450,300,16,12,14016,1993262.08
2342,450,300,16,16,16288,2442838.708
2343,450,300,16,19,17992,2768923.721
2344,450,300,16,22,19696,3085648.095
2345,450,300,16,25,21400,3393148.148
2346,450,300,16,28,23104,3691560.201
2347,450,300,16,32,25376,4075541.665
2348,450,300,16,36,27648,4443932.16
2349,450,300,16,40,29920,4797054.815
2351,450,300,19,12,15294,2079160.72
2352,450,300,19,16,17542,2523988.299
2353,450,300,19,19,19228,2846628.753
2354,450,300,19,22,20914,3160007.446
2355,450,300,19,25,22600,3464259.259
2356,450,300,19,28,24286,3759519.073
2357,450,300,19,32,26534,4139444.394
2358,450,300,19,36,28782,4503943.44
2359,450,300,19,40,31030,4853335.926
2361,450,300,22,12,16572,2165059.36
2362,450,300,22,16,18796,2605137.89
2363,450,300,22,19,20464,2924333.784
2364,450,300,22,22,22132,3234366.797
2365,450,300,22,25,23800,3535370.37
2366,450,300,22,28,25468,3827477.944
2367,450,300,22,32,27692,4203347.123
2368,450,300,22,36,29916,4563954.72
2369,450,300,22,40,32140,4909617.037
2411,450,350,9,12,12234,2048687.92
2412,450,350,9,16,14962,2588496.477
2413,450,350,9,19,17008,2980028.13
2414,450,350,9,22,19054,3360320.424
2415,450,350,9,25,21100,3729537.037
2416,450,350,9,28,23146,4087841.65
2417,450,350,9,32,25874,4548889.816
2418,450,350,9,36,28602,4991217.84
2419,450,350,9,40,31330,5415213.704
2421,450,350,12,12,13512,2134586.56
2422,450,350,12,16,16216,2669646.068
2423,450,350,12,19,18244,3057733.161
2424,450,350,12,22,20272,3434679.775
2425,450,350,12,25,22300,3800648.148
2426,450,350,12,28,24328,4155800.521
2427,450,350,12,32,27032,4612792.545
2428,450,350,12,36,29736,5051229.12
2429,450,350,12,40,32440,5471494.815
2431,450,350,14,12,14364,2191852.32
2432,450,350,14,16,17052,2723745.796
2433,450,350,14,19,19068,3109536.516
2434,450,350,14,22,21084,3484252.676
2435,450,350,14,25,23100,3848055.556
2436,450,350,14,28,25116,4201106.436
2437,450,350,14,32,27804,4655394.364
2438,450,350,14,36,30492,5091236.64
2439,450,350,14,40,33180,5509015.556
2441,450,350,16,12,15216,2249118.08
2442,450,350,16,16,17888,2777845.523
2443,450,350,16,19,19892,3161339.87
